ID	st_vseh	delez_izbranih_tock	relativna_napaka_ploscine_1	relativna_napaka_obseg_1	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog
1165	600	92.33333333333333	99.96969089146775	99.99988905773067	54.80546472624583	14.503010955564582
1166	600	92.66666666666666	99.79328785328973	99.99717407405203	51.93271066876029	12.698553099272386
1167	600	91.66666666666666	99.98707246985573	99.99981904370316	64.3648964078184	17.05991688330406
1168	600	91.66666666666666	99.87339773632915	99.99235880150806	50.358615862001635	11.393694434022162
1169	600	91.66666666666666	99.94744709052092	99.97414540016449	51.67128536093719	11.775904251338368
1170	600	93.83333333333333	100.0	100.0	51.05418486065073	14.04809683585885
1171	600	94.5	100.0	100.0	48.120937425676345	11.847525250357572
1172	600	93.66666666666667	100.0	100.0	63.955526716528496	15.530997258029943
1173	600	95.16666666666667	100.0	100.0	48.20398230907152	12.100803311143785
1174	600	94.5	100.0	100.0	52.65321464355503	12.20951120260078
1175	600	93.16666666666666	99.9610037353614	99.99975109986475	58.46924918693057	13.657992732880386
1176	600	95.16666666666667	99.98697007625809	99.99942326880638	63.964870653844955	16.577037123595986
1177	600	94.33333333333334	100.0	100.0	51.93086288843911	12.660673617787246
1178	600	93.5	99.96672511563101	99.97923338947871	52.10173990041043	13.60685002696315
1179	600	94.0	100.0	100.0	53.154842647246795	11.995419685398343
1180	600	95.66666666666667	100.0	100.0	46.02637684766675	11.061206122351406
1181	600	95.33333333333334	99.97437215609362	99.99582624063935	57.539525507273446	13.218888495282755
1182	600	95.83333333333334	100.0	100.0	65.06300351013392	16.564474180891118
1183	600	95.5	100.0	100.0	57.60376658980238	13.997507859204857
1184	600	95.83333333333334	100.0	100.0	55.883896071892956	15.491176549143276
1185	600	95.66666666666667	100.0	100.0	52.4222969687813	13.04667943491277
1186	600	94.66666666666667	100.0	100.0	51.87641683139847	12.333614655996087
1187	600	95.0	100.0	100.0	50.0389714966732	12.95336114781903
1188	600	96.0	100.0	100.0	49.239145314596264	12.07574485892271
1189	600	94.66666666666667	100.0	100.0	58.908715744096085	15.73193297627013
1190	600	95.83333333333334	100.0	100.0	47.40574979647015	12.09902317721075
1191	600	96.83333333333334	100.0	100.0	55.357748713374164	14.051882760454346
1192	600	96.0	99.71449439402724	99.82963857916043	49.09782191453313	12.808536066183695
1193	600	96.66666666666667	99.91075059683828	99.99899087925527	50.614327826032415	12.64066501628174
1194	600	96.16666666666667	100.0	100.0	58.50398435833941	14.210542148756467
1195	600	96.83333333333334	100.0	100.0	42.17394607479946	11.104923140618641
1196	600	97.83333333333334	100.0	100.0	54.45188939965648	13.558368132038549
1197	600	97.0	99.96573353908154	99.97193076627315	59.88401092756999	15.232172445533209
1198	600	96.5	100.0	100.0	62.567315153720195	15.33527806218364
1199	600	96.83333333333334	100.0	100.0	53.30601331209074	13.001022740970566
1200	650	0.6153846153846154	25.74171331872867	61.29253522761258	55.08672390325921	13.113097259272743
1201	650	0.6153846153846154	35.5421959001841	67.24162059999082	51.31693303005599	12.61370710876136
1202	650	0.6153846153846154	24.870510759361224	56.89595875624053	56.95624396896059	13.784877825175238
1203	650	0.6153846153846154	20.844644840985737	52.051814310829556	54.71112198554924	12.48190869323317
1204	650	0.6153846153846154	26.884431027055015	60.76340835599922	53.84246513000448	13.25373902132974
1205	650	0.6153846153846154	21.333098364658994	57.56970940902441	57.478485185798256	14.83377604807863
1206	650	0.6153846153846154	24.33620763025985	55.82352033056506	56.01730000542222	13.913554758658
1207	650	0.6153846153846154	31.015896134761803	58.75550896390758	49.85551442762543	11.544442244898375
1208	650	0.6153846153846154	45.6832082770754	71.74645473124477	57.282216467744085	14.082559751831214
1209	650	0.6153846153846154	23.507956175661732	53.942339410209264	49.17563614274304	12.198617649963584
1210	650	21.846153846153847	94.49495523807414	96.2890666456084	59.25666669666776	15.058630996129901
1211	650	22.0	95.09026738330147	96.15319414747474	56.22291994715481	13.547918252245413
1212	650	22.153846153846153	94.25619310810794	94.93476758308836	59.75048273608778	15.51661948586881
1213	650	21.69230769230769	94.22988582023218	94.4479753867543	63.203281821585236	16.60297305271234
1214	650	22.153846153846153	96.43719051986794	99.46635802647768	53.01225551184881	12.375917899638873
1215	650	22.153846153846153	96.0045009308512	96.72723932092254	50.50188785936398	12.47437117760053
1216	650	21.69230769230769	91.68657794686462	95.64594460491544	57.7708692111995	15.123117350335564
1217	650	22.153846153846153	96.90249152521727	98.93442788948599	58.033601745518695	14.61301062592372
1218	650	22.153846153846153	94.80214104530287	97.97167145398055	49.03800814370569	12.276207536873427
1219	650	22.0	94.521758899191	96.18613953242789	50.096227792197865	12.3095531566695
1220	650	53.53846153846153	99.6401997936004	99.82775420528577	54.29823362587415	15.268551079701403
1221	650	54.61538461538461	98.57663742598695	99.8519473251506	61.37516000311466	15.31231537561025
1222	650	56.46153846153846	99.52345552782772	99.83465079984073	55.31422156540453	14.068651994068984
1223	650	56.30769230769231	99.46979230555512	99.66275663403606	59.30862503144463	14.313931435887481
1224	650	55.38461538461539	97.89395581784095	98.5816442614714	58.0668167246397	14.52295747480611
